method,stem,si_sdr_db,snr_db,corr,mse,spectral_l1,reconstruction_error
Butterworth,male,0.9850208582244385,2.9152658060467793,0.7459628184880208,0.007359285373240709,0.0005787340924143791,0.22807458857673352
Butterworth,female,-7.992445707343924,0.571521573772689,0.3701519014748787,0.011818335391581059,0.0006317893858067691,0.22807458857673352
Chebyshev-I,male,1.2660797144179265,3.4355235800936894,0.7565511157624435,0.006528446916490793,0.0005909069441258907,0.27284568522308816
Chebyshev-I,female,-8.351884160647792,0.5501542595414746,0.35709539417705627,0.011876625008881092,0.0006380464183166623,0.27284568522308816
Elliptic,male,1.0146784686649861,3.2897029045137867,0.7470912464688201,0.006751370150595903,0.0005985621246509254,0.28530113945764196
Elliptic,female,-8.66292743059663,0.5171552302822473,0.34606237481994656,0.011967211030423641,0.0006402003346011043,0.28530113945764196
FIR-Hamming,male,0.907343372463457,2.831704699752449,0.7429951029769953,0.007502253632992506,0.00058101920876652,0.27892388264284307
FIR-Hamming,female,-9.134050914301085,0.4905725239853597,0.329828547418814,0.01204068586230278,0.0006333512137643993,0.27892388264284307
ReferenceGuidedFilter,male,2.5896022065123847,4.495084976521749,0.802997071907914,0.005115095060318708,0.0005214877892285585,3.614778302462704e-08
ReferenceGuidedFilter,female,1.4178419338145183,3.728081708096178,0.7621681361833925,0.0057134744711220264,0.0005261990590952337,3.614778302462704e-08
TrainableRefGuided,male,14.52227269153605,11.395577604780362,0.9828040255120757,0.0010442499769851565,0.00025860496680252254,0.13059022522139652
TrainableRefGuided,female,14.501999044958591,11.354399044294043,0.9827256368614109,0.0009868895867839456,0.0002483055286575109,0.13059022522139652
DifferentiableFilter,male,14.117345436353075,11.14288642140923,0.9811707621019377,0.0011068113381043077,0.00027607555966824293,2.084174102568084e-07
DifferentiableFilter,female,13.865046694354085,10.328181410138955,0.9800779386897557,0.0012499433942139149,0.0002650243113748729,2.084174102568084e-07
